## init: i2c MPU
### init: pwm
### init: IBUS
curAngle:-7.837242 P:-14.498898  I:-4.925307     D:0.000000
curAngle:-5.317534 P:-9.837438   I:-4.950633     D:0.000000
curAngle:-2.742696 P:-5.073988   I:-4.963696     D:0.000000
curAngle:-1.208329 P:-2.235409   I:-4.969451     D:0.000000
curAngle:-0.607324 P:-1.123550   I:-4.972343     D:0.000000
curAngle:1.801565 P:3.332895     I:-4.963763     D:0.000000
curAngle:3.244713 P:6.002720     I:-4.948431     D:0.000000
curAngle:4.864751 P:8.999789     I:-4.925446     D:0.000000
curAngle:6.091704 P:11.269652    I:-4.896662     D:0.000000
curAngle:5.552999 P:10.273048    I:-4.870214     D:-0.000000
curAngle:6.456318 P:11.944188    I:-4.839464     D:0.000000
curAngle:8.209303 P:15.187211    I:-4.800364     D:0.000000
curAngle:9.474087 P:17.527061    I:-4.755241     D:0.000000
curAngle:10.001074 P:18.501987   I:-4.707608     D:0.000000
curAngle:10.699487 P:19.794050   I:-4.656649     D:0.000000
curAngle:10.792488 P:19.966103   I:-4.605247     D:0.000000
curAngle:11.972582 P:22.149277   I:-4.548223     D:0.000000
curAngle:13.072253 P:24.183668   I:-4.485963     D:0.000000
Accel: X=-0.52g Y=0.30g Z=1.08g
Gyro: X=1.78 Y=0.37 Z=0.50
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:13.260608 P:24.532125   I:-4.417793     D:0.000000
curAngle:14.113504 P:26.109983   I:-4.350573     D:0.000000
curAngle:13.993795 P:25.888521   I:-4.283924     D:-0.000000
curAngle:14.308808 P:26.471296   I:-4.215774     D:0.000000
curAngle:13.801020 P:25.531887   I:-4.150042     D:-0.000000
curAngle:13.195869 P:24.412359   I:-4.087193     D:-0.000000
curAngle:13.456169 P:24.893913   I:-4.023104     D:0.000000
curAngle:13.483954 P:24.945316   I:-3.958883     D:0.000000
curAngle:14.141485 P:26.161749   I:-3.891530     D:0.000000
curAngle:14.559100 P:26.934336   I:-3.822188     D:0.000000
curAngle:14.839999 P:27.453999   I:-3.751508     D:0.000000
curAngle:14.994424 P:27.739685   I:-3.680092     D:0.000000
curAngle:14.227170 P:26.320265   I:-3.612331     D:-0.000000
curAngle:14.409371 P:26.657337   I:-3.543702     D:0.000000
curAngle:15.187577 P:28.097019   I:-3.471366     D:0.000000
curAngle:15.899079 P:29.413298   I:-3.395642     D:0.000000
curAngle:15.325243 P:28.351700   I:-3.322651     D:-0.000000
curAngle:15.080745 P:27.899378   I:-3.250825     D:-0.000000
curAngle:15.353029 P:28.403105   I:-3.177701     D:0.000000
curAngle:15.783435 P:29.199354   I:-3.102528     D:0.000000
Accel: X=-0.41g Y=0.26g Z=1.07g
Gyro: X=-4.47 Y=0.97 Z=0.59
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:15.491533 P:28.659336   I:-3.022889     D:-0.000000
curAngle:15.742167 P:29.123009   I:-2.947912     D:0.000000
curAngle:15.623085 P:28.902708   I:-2.873503     D:-0.000000
curAngle:16.096655 P:29.778812   I:-2.796838     D:0.000000
curAngle:16.226467 P:30.018965   I:-2.719554     D:0.000000
curAngle:16.705368 P:30.904932   I:-2.639990     D:0.000000
curAngle:16.825016 P:31.126280   I:-2.559856     D:0.000000
curAngle:16.784298 P:31.050951   I:-2.479916     D:-0.000000
curAngle:16.900175 P:31.265324   I:-2.399423     D:0.000000
curAngle:16.702272 P:30.899204   I:-2.319874     D:-0.000000
curAngle:17.322872 P:32.047314   I:-2.237368     D:0.000000
curAngle:17.367605 P:32.130070   I:-2.154650     D:0.000000
curAngle:17.921261 P:33.154331   I:-2.069294     D:0.000000
curAngle:17.702751 P:32.750092   I:-1.984980     D:-0.000000
curAngle:17.522509 P:32.416641   I:-1.901523     D:-0.000000
curAngle:17.867283 P:33.054474   I:-1.816425     D:0.000000
curAngle:17.592377 P:32.545898   I:-1.732636     D:-0.000000
curAngle:17.287066 P:31.981071   I:-1.650301     D:-0.000000
curAngle:16.659588 P:30.820238   I:-1.570955     D:-0.000000
curAngle:16.320837 P:30.193548   I:-1.493222     D:-0.000000
Accel: X=-0.25g Y=0.42g Z=1.11g
Gyro: X=0.08 Y=-20.41 Z=6.08
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:15.645420 P:28.944027   I:-1.412792     D:-0.000000
curAngle:14.897305 P:27.560013   I:-1.341839     D:-0.000000
curAngle:13.444399 P:24.872139   I:-1.277806     D:-0.000000
curAngle:12.110599 P:22.404608   I:-1.220126     D:-0.000000
curAngle:10.953688 P:20.264322   I:-1.167956     D:-0.000000
curAngle:9.866692 P:18.253380    I:-1.120963     D:-0.000000
curAngle:9.313744 P:17.230427    I:-1.076603     D:-0.000000
curAngle:6.952385 P:12.861913    I:-1.043490     D:-0.000000
curAngle:4.645585 P:8.594332     I:-1.021364     D:-0.000000
curAngle:2.681623 P:4.961002     I:-1.008592     D:-0.000000
curAngle:2.251194 P:4.164708     I:-0.997870     D:-0.000000
curAngle:0.734340 P:1.358529     I:-0.994373     D:-0.000000
curAngle:-0.170584 P:-0.315580   I:-0.995185     D:-0.000000
curAngle:-1.286062 P:-2.379214   I:-1.001310     D:-0.000000
curAngle:-1.581675 P:-2.926098   I:-1.008844     D:-0.000000
curAngle:-3.497181 P:-6.469784   I:-1.025500     D:-0.000000
curAngle:-3.847388 P:-7.117667   I:-1.043824     D:-0.000000
curAngle:-4.701275 P:-8.697359   I:-1.066216     D:-0.000000
curAngle:-4.344348 P:-8.037045   I:-1.086907     D:0.000000
curAngle:-5.767082 P:-10.669103  I:-1.114374     D:-0.000000
Accel: X=0.41g Y=0.18g Z=1.00g
Gyro: X=1.15 Y=-0.41 Z=-0.02
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-6.458159 P:-11.947596  I:-1.147574     D:-0.000000
curAngle:-6.139293 P:-11.357692  I:-1.176815     D:0.000000
curAngle:-7.502734 P:-13.880057  I:-1.212548     D:-0.000000
curAngle:-8.842871 P:-16.359310  I:-1.254665     D:-0.000000
curAngle:-9.185340 P:-16.992880  I:-1.298413     D:-0.000000
curAngle:-10.463031 P:-19.356607         I:-1.348247     D:-0.000000
curAngle:-10.678737 P:-19.755663         I:-1.399107     D:-0.000000
curAngle:-10.426011 P:-19.288120         I:-1.448764     D:0.000000
curAngle:-11.097625 P:-20.530605         I:-1.501620     D:-0.000000
curAngle:-9.585663 P:-17.733477  I:-1.547275     D:0.000000
curAngle:-10.548624 P:-19.514956         I:-1.597516     D:-0.000000
curAngle:-11.060541 P:-20.462002         I:-1.650195     D:-0.000000
curAngle:-11.758235 P:-21.752735         I:-1.706197     D:-0.000000
curAngle:-12.407022 P:-22.952990         I:-1.765289     D:-0.000000
curAngle:-13.157078 P:-24.340593         I:-1.827953     D:-0.000000
curAngle:-13.599047 P:-25.158237         I:-1.892723     D:-0.000000
curAngle:-14.280656 P:-26.419214         I:-1.960739     D:-0.000000
curAngle:-14.108531 P:-26.100782         I:-2.027935     D:0.000000
curAngle:-13.916120 P:-25.744822         I:-2.094214     D:0.000000
curAngle:-14.713085 P:-27.219208         I:-2.164290     D:-0.000000
Accel: X=0.46g Y=0.20g Z=1.03g
Gyro: X=0.75 Y=5.73 Z=-0.97
CH1:0  CH2:0  CH3:0  CH4:0  CH5:0  CH6:0
curAngle:-13.886153 P:-25.689384         I:-2.235676     D:0.000000
curAngle:-14.212984 P:-26.294022         I:-2.303370     D:-0.000000
curAngle:-13.916957 P:-25.746370         I:-2.369653     D:0.000000
curAngle:-14.483377 P:-26.794247         I:-2.438635     D:-0.000000
curAngle:-14.281437 P:-26.420658         I:-2.506655     D:0.000000
curAngle:-13.824752 P:-25.575790         I:-2.572499     D:0.000000
curAngle:-13.894991 P:-25.705734         I:-2.638678     D:-0.000000
curAngle:-15.014972 P:-27.777699         I:-2.710191     D:-0.000000
curAngle:-15.935963 P:-29.481531         I:-2.786091     D:-0.000000
curAngle:-15.363942 P:-28.423294         I:-2.859267     D:0.000000
curAngle:-16.120708 P:-29.823311         I:-2.936046     D:-0.000000
curAngle:-15.341141 P:-28.381111         I:-3.009113     D:0.000000
curAngle:-15.624054 P:-28.904501         I:-3.083527     D:-0.000000
curAngle:-14.638036 P:-27.080366         I:-3.153245     D:0.000000
curAngle:-15.221559 P:-28.159883         I:-3.225742     D:-0.000000
