### init: pwm
### init: IBUS
curAngle:4.376624 P:3.413766     I:-4.673927     D:-6.006366
curAngle:3.407893 P:2.658157     I:-4.639146     D:-2.050223
curAngle:0.127369 P:0.099347     I:-4.638011     D:-7.952788
curAngle:-0.516945 P:-0.403217   I:-4.643287     D:-1.363627
curAngle:-0.778685 P:-0.607374   I:-4.650226     D:-0.634521
curAngle:0.987299 P:0.770093     I:-4.640149     D:3.737533
curAngle:2.478189 P:1.932988     I:-4.636603     D:22.504004
curAngle:2.244165 P:1.750449     I:-4.625332     D:-1.006555
curAngle:2.559937 P:1.996751     I:-4.602523     D:0.765508
curAngle:1.419855 P:1.107487     I:-4.600492     D:-17.208790
curAngle:-0.868316 P:-0.677287   I:-4.604852     D:-9.841597
curAngle:-0.569845 P:-0.444479   I:-4.610668     D:0.631686
curAngle:0.644150 P:0.502437     I:-4.604094     D:2.569301
curAngle:1.704670 P:1.329643     I:-4.586742     D:2.250441
curAngle:3.661694 P:2.856121     I:-4.549470     D:4.152836
curAngle:3.754209 P:2.928283     I:-4.511256     D:0.196318
curAngle:2.097416 P:1.635984     I:-4.508255     D:-25.008204
curAngle:2.672538 P:2.084579     I:-4.494833     D:2.473644
curAngle:1.224557 P:0.955154     I:-4.482368     D:-3.072639
curAngle:0.110510 P:0.086198     I:-4.481240     D:-2.357771
curAngle:-1.520905 P:-1.186306   I:-4.494792     D:-3.954945
curAngle:-1.744566 P:-1.360761   I:-4.512597     D:-0.473356
curAngle:-1.206347 P:-0.940951   I:-4.524909     D:1.139087
curAngle:-0.307143 P:-0.239571   I:-4.527645     D:2.179890
curAngle:-0.481733 P:-0.375752   I:-4.532562     D:-0.369503
curAngle:-0.554609 P:-0.432595   I:-4.537503     D:-0.176671
Accel: X=0.52g Y=0.01g Z=0.83g
Gyro: X=-1.98 Y=11.30 Z=-3.68
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-0.617391 P:-0.481565   I:-4.538404     D:-0.930092
curAngle:0.801395 P:0.625088     I:-4.530224     D:3.002721
curAngle:1.174245 P:0.915911     I:-4.528544     D:5.627934
curAngle:1.175266 P:0.916708     I:-4.522674     D:0.004414
curAngle:2.073572 P:1.617386     I:-4.519707     D:13.559333
curAngle:2.495090 P:1.946170     I:-4.507176     D:1.812983
curAngle:3.393632 P:2.647033     I:-4.502320     D:13.562891
curAngle:5.485711 P:4.278854     I:-4.474771     D:8.998190
curAngle:3.452130 P:2.692661     I:-4.469831     D:-30.695568
curAngle:3.672654 P:2.864670     I:-4.451387     D:0.948491
curAngle:3.131494 P:2.442565     I:-4.419511     D:-1.148350
curAngle:4.162886 P:3.247051     I:-4.377025     D:2.182840
curAngle:4.605206 P:3.592061     I:-4.330149     D:0.938610
curAngle:5.049584 P:3.938675     I:-4.278749     D:0.942977
curAngle:1.751284 P:1.366001     I:-4.276242     D:-49.785667
curAngle:0.330264 P:0.257606     I:-4.274584     D:-6.111910
curAngle:-0.633501 P:-0.494131   I:-4.281050     D:-2.039716
curAngle:-2.671214 P:-2.083547   I:-4.304850     D:-4.939909
curAngle:-3.671163 P:-2.863507   I:-4.342318     D:-2.116295
curAngle:-1.661448 P:-1.295929   I:-4.357121     D:4.872036
curAngle:-0.865584 P:-0.675156   I:-4.365955     D:1.684367
curAngle:-0.643804 P:-0.502167   I:-4.372526     D:0.469377
curAngle:-1.023255 P:-0.798138   I:-4.381643     D:-0.919881
curAngle:0.966347 P:0.753750     I:-4.371781     D:4.210796
curAngle:-0.511894 P:-0.399277   I:-4.376991     D:-3.136851
curAngle:0.378703 P:0.295388     I:-4.373126     D:1.884861
curAngle:-0.101153 P:-0.078899   I:-4.374156     D:-1.018261
curAngle:-0.878896 P:-0.685539   I:-4.381987     D:-1.885438
curAngle:-0.326788 P:-0.254895   I:-4.385322     D:1.168482
curAngle:-4.319658 P:-3.369333   I:-4.429408     D:-8.450519
curAngle:-14.540857 P:-11.341868         I:-4.558967     D:-24.778666
curAngle:-17.206362 P:-13.420961         I:-4.734575     D:-5.641279
curAngle:-14.523958 P:-11.328687         I:-4.882807     D:5.677044
curAngle:-16.711100 P:-13.034657         I:-5.031703     D:-5.302161
curAngle:-13.471779 P:-10.507987         I:-5.169196     D:6.855705
curAngle:-11.332057 P:-8.839005  I:-5.270164     D:5.187205
curAngle:-7.230114 P:-5.639488   I:-5.343955     D:8.681362
curAngle:-3.810607 P:-2.972273   I:-5.382846     D:7.237051
curAngle:-1.698418 P:-1.324766   I:-5.397978     D:5.120459
curAngle:-1.686270 P:-1.315290   I:-5.415189     D:0.025710
curAngle:0.134068 P:0.104573     I:-5.413994     D:4.412940
curAngle:0.349750 P:0.272805     I:-5.413494     D:3.255570
curAngle:1.475095 P:1.150574     I:-5.404213     D:3.863847
curAngle:2.492710 P:1.944314     I:-5.378840     D:2.159396
curAngle:2.853556 P:2.225774     I:-5.374757     D:5.446726
curAngle:3.252793 P:2.537179     I:-5.358510     D:1.726431
curAngle:7.208572 P:5.622686     I:-5.348194     D:59.709881
curAngle:6.814054 P:5.314962     I:-5.313973     D:-1.696853
curAngle:5.480714 P:4.274957     I:-5.258038     D:-2.821884
curAngle:4.026849 P:3.140942     I:-5.216939     D:-3.076962
curAngle:2.493805 P:1.945168     I:-5.194720     D:-3.716471
curAngle:2.806880 P:2.189366     I:-5.166073     D:0.662592
curAngle:1.409058 P:1.099065     I:-5.151730     D:-2.966200
Accel: X=0.29g Y=0.09g Z=1.05g
Gyro: X=10.42 Y=3.80 Z=-2.03
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-0.102927 P:-0.080283   I:-5.151877     D:-22.822420
curAngle:-1.258448 P:-0.981589   I:-5.164721     D:-2.445546
curAngle:-3.590877 P:-2.800884   I:-5.201369     D:-4.936357
curAngle:-5.724810 P:-4.465352   I:-5.252378     D:-5.173172
curAngle:-5.419689 P:-4.227357   I:-5.307691     D:0.645760
curAngle:-6.721993 P:-5.243155   I:-5.376296     D:-2.756200
Accel: X=-0.15g Y=0.28g Z=1.23g
Gyro: X=-2.63 Y=2.30 Z=-2.18
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-6.137097 P:-4.786936   I:-5.385244     D:8.665120
curAngle:-6.453117 P:-5.033432   I:-5.442741     D:-0.766109
curAngle:-8.225422 P:-6.415829   I:-5.526690     D:-3.750909
curAngle:-7.681885 P:-5.991870   I:-5.595135     D:1.317666
curAngle:-7.139230 P:-5.568599   I:-5.667998     D:1.148475
curAngle:-7.029553 P:-5.483051   I:-5.739742     D:0.232120
curAngle:-9.945953 P:-7.757843   I:-5.828360     D:-7.070061
curAngle:-11.102579 P:-8.660011  I:-5.941673     D:-2.447885
curAngle:-12.050450 P:-9.399351  I:-6.049043     D:-2.297870
curAngle:-9.929801 P:-7.745245   I:-6.150387     D:4.488147
curAngle:-10.670062 P:-8.322648  I:-6.259285     D:-1.566690
curAngle:-11.395918 P:-8.888816  I:-6.360823     D:-1.759650
curAngle:-11.588389 P:-9.038943  I:-6.479094     D:-0.407347
curAngle:-10.185661 P:-7.944816  I:-6.583048     D:2.968737
Accel: X=0.10g Y=0.07g Z=1.21g
Gyro: X=-14.31 Y=17.49 Z=-3.33
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1641  CH6:1244
curAngle:-9.097452 P:-7.096013   I:-6.596313     D:16.121616
curAngle:-10.080411 P:-7.862720  I:-6.686129     D:-2.382931
curAngle:-9.019664 P:-7.035337   I:-6.778183     D:2.244967
curAngle:-7.987314 P:-6.230104   I:-6.849350     D:2.502667
curAngle:-6.264093 P:-4.885993   I:-6.913281     D:3.647028
curAngle:-5.245234 P:-4.091282   I:-6.966814     D:2.156316
curAngle:-4.580494 P:-3.572786   I:-7.007627     D:1.611489
curAngle:-5.057530 P:-3.944873   I:-7.059244     D:-1.009599
curAngle:-5.209378 P:-4.063314   I:-7.105659     D:-0.368116
curAngle:-6.081371 P:-4.743469   I:-7.167726     D:-1.845488
curAngle:-6.331393 P:-4.938487   I:-7.232344     D:-0.529148
curAngle:-4.914255 P:-3.833119   I:-7.276130     D:3.435486
curAngle:-4.743384 P:-3.699840   I:-7.324541     D:0.361631
curAngle:-5.884987 P:-4.590290   I:-7.384603     D:-2.416091
Accel: X=-0.01g Y=0.18g Z=0.93g
Gyro: X=-2.16 Y=32.71 Z=-3.41
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-7.883889 P:-6.149433   I:-7.396098     D:-29.613352
curAngle:-9.245548 P:-7.211527   I:-7.478476     D:-3.300993
curAngle:-10.464441 P:-8.162264  I:-7.585276     D:-2.579668
curAngle:-8.837926 P:-6.893582   I:-7.664021     D:3.943068
curAngle:-9.089326 P:-7.089674   I:-7.756787     D:-0.532063
curAngle:-9.055781 P:-7.063509   I:-7.849211     D:0.070994
curAngle:-10.898579 P:-8.500891  I:-7.946317     D:-4.467387
curAngle:-11.334921 P:-8.841238  I:-8.062001     D:-0.923476
curAngle:-9.595637 P:-7.484597   I:-8.147498     D:4.216445
curAngle:-11.838589 P:-9.234098  I:-8.268322     D:-4.746987
curAngle:-15.875350 P:-12.382772         I:-8.430346     D:-8.543410
curAngle:-17.380230 P:-13.556579         I:-8.585204     D:-3.648194
curAngle:-15.502270 P:-12.091770         I:-8.743421     D:3.974519
curAngle:-14.952284 P:-11.662781         I:-8.896023     D:1.163991
Accel: X=0.20g Y=0.19g Z=0.85g
Gyro: X=-7.83 Y=-7.18 Z=-0.16
CH1:1499  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-12.817027 P:-9.997281  I:-8.914710     D:31.633432
curAngle:-11.086196 P:-8.647232  I:-9.013488     D:4.195954
curAngle:-12.465528 P:-9.723112  I:-9.140711     D:-2.919222
curAngle:-10.266593 P:-8.007942  I:-9.232186     D:5.330753
curAngle:-10.352247 P:-8.074753  I:-9.337841     D:-0.181279
curAngle:-7.700090 P:-6.006070   I:-9.416429     D:5.613030
curAngle:-6.759334 P:-5.272280   I:-9.476655     D:2.280622
curAngle:-5.397347 P:-4.209930   I:-9.531740     D:2.882511
curAngle:-4.378686 P:-3.415375   I:-9.570754     D:2.469481
curAngle:-2.978233 P:-2.323022   I:-9.601151     D:2.963921
curAngle:-3.676495 P:-2.867666   I:-9.638673     D:-1.477804
curAngle:-4.697741 P:-3.664238   I:-9.680530     D:-2.475747
curAngle:-6.128824 P:-4.780483   I:-9.743080     D:-3.028748
curAngle:-7.422437 P:-5.789500   I:-9.818833     D:-2.737804
Accel: X=1.01g Y=0.15g Z=0.64g
Gyro: X=0.87 Y=30.40 Z=2.32
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-7.785721 P:-6.072863   I:-9.829975     D:-5.483541
curAngle:-7.990156 P:-6.232321   I:-9.911523     D:-0.432665
curAngle:-7.745784 P:-6.041711   I:-9.980537     D:0.592416
curAngle:-6.618253 P:-5.162237   I:-10.048084    D:2.386309
curAngle:-5.825025 P:-4.543519   I:-10.107534    D:1.678790
curAngle:-4.874208 P:-3.801883   I:-10.150964    D:2.305010
curAngle:-6.553534 P:-5.111756   I:-10.217849    D:-3.554127
curAngle:-5.397843 P:-4.210317   I:-10.265944    D:2.801674
curAngle:-5.755857 P:-4.489569   I:-10.324688    D:-0.757703
curAngle:-8.278789 P:-6.457455   I:-10.409182    D:-5.339537
curAngle:-8.345713 P:-6.509655   I:-10.483541    D:-0.162240
curAngle:-12.487679 P:-9.740390  I:-10.610991    D:-8.766068
curAngle:-11.322649 P:-8.831666  I:-10.711875    D:2.824316
curAngle:-10.895375 P:-8.498392  I:-10.823073    D:0.904283
Accel: X=-0.67g Y=0.26g Z=1.66g
Gyro: X=1.40 Y=-23.50 Z=-4.90
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-10.493443 P:-8.184885  I:-10.838373    D:5.954558
curAngle:-11.948174 P:-9.319575  I:-10.960316    D:-3.078798
curAngle:-12.135194 P:-9.465451  I:-11.068440    D:-0.453380
curAngle:-17.221670 P:-13.432902         I:-11.244205    D:-10.765029
curAngle:-15.279646 P:-11.918123         I:-11.380347    D:4.707938
curAngle:-14.567348 P:-11.362531         I:-11.529021    D:1.507510
curAngle:-11.882928 P:-9.268683  I:-11.650298    D:5.681312
curAngle:-12.328778 P:-9.616446  I:-11.760148    D:-1.080849
curAngle:-14.357278 P:-11.198676         I:-11.906678    D:-4.293121
curAngle:-15.330075 P:-11.957458         I:-12.063138    D:-2.058830
curAngle:-15.915040 P:-12.413731         I:-12.204940    D:-1.418096
curAngle:-13.801470 P:-10.765146         I:-12.345798    D:4.473165
curAngle:-15.026793 P:-11.720898         I:-12.479687    D:-2.970479
curAngle:-11.305847 P:-8.818561  I:-12.595075    D:7.875017
Accel: X=-0.44g Y=-0.17g Z=1.65g
Gyro: X=-14.05 Y=-33.30 Z=-1.90
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-8.403138 P:-6.554448   I:-12.607326    D:43.003094
curAngle:-3.378137 P:-2.634947   I:-12.641804    D:10.634923
curAngle:-0.989252 P:-0.771616   I:-12.650619    D:5.791237
curAngle:0.911892 P:0.711276     I:-12.641312    D:4.023585
curAngle:2.928189 P:2.283987     I:-12.615222    D:4.887991
curAngle:3.966934 P:3.094208     I:-12.574735    D:2.198403
curAngle:5.601813 P:4.369414     I:-12.517563    D:3.460061
curAngle:6.576927 P:5.130003     I:-12.458961    D:2.363914
curAngle:16.668163 P:13.001167   I:-12.288846    D:21.357113
curAngle:14.729136 P:11.488726   I:-12.138520    D:-4.103761
curAngle:12.738624 P:9.936126    I:-12.025019    D:-4.825486
curAngle:10.138083 P:7.907704    I:-11.921550    D:-5.503791
curAngle:4.811782 P:3.753190     I:-11.878676    D:-12.912244
curAngle:2.070088 P:1.614669     I:-11.857550    D:-5.802526
Accel: X=-0.14g Y=0.22g Z=1.19g
Gyro: X=1.69 Y=2.79 Z=-1.73
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-4.177338 P:-3.258324   I:-11.868942    D:-49.484566
curAngle:-5.270001 P:-4.110601   I:-11.915898    D:-2.648881
curAngle:-7.655993 P:-5.971674   I:-11.994035    D:-5.049716
curAngle:-8.787050 P:-6.853899   I:-12.072327    D:-2.741958
curAngle:-8.789613 P:-6.855898   I:-12.162033    D:-0.005423
curAngle:-9.285361 P:-7.242581   I:-12.256800    D:-1.049203
Accel: X=0.07g Y=0.22g Z=1.09g
Gyro: X=-0.25 Y=15.40 Z=-2.95
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-8.701009 P:-6.786787   I:-12.269485    D:8.657074
curAngle:-9.117271 P:-7.111472   I:-12.350720    D:-1.009122
curAngle:-12.173985 P:-9.495708  I:-12.474968    D:-6.469236
curAngle:-10.584110 P:-8.255606  I:-12.569273    D:3.854243
curAngle:-11.330260 P:-8.837603  I:-12.684910    D:-1.579154
curAngle:-12.287574 P:-9.584308  I:-12.810318    D:-2.026060
curAngle:-12.185840 P:-9.504954  I:-12.918894    D:0.246628
curAngle:-16.542747 P:-12.903342         I:-13.087729    D:-9.220969
curAngle:-16.007988 P:-12.486230         I:-13.251107    D:1.131766
curAngle:-14.542460 P:-11.343119         I:-13.380681    D:3.552794
curAngle:-12.959415 P:-10.108344         I:-13.512945    D:3.350360
curAngle:-11.874709 P:-9.262273  I:-13.618749    D:2.629591
curAngle:-8.217113 P:-6.409348   I:-13.702613    D:7.740945
curAngle:-4.437570 P:-3.461305   I:-13.747902    D:7.999032
Accel: X=-0.26g Y=-0.34g Z=1.58g
Gyro: X=32.35 Y=-51.63 Z=-3.45
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-0.886318 P:-0.691328   I:-13.749194    D:52.611145
curAngle:3.222736 P:2.513734     I:-13.720479    D:9.961342
curAngle:5.132615 P:4.003439     I:-13.668096    D:4.042072
curAngle:6.068688 P:4.733576     I:-13.614022    D:2.269268
curAngle:6.734726 P:5.253086     I:-13.545289    D:1.409604
curAngle:5.786588 P:4.513538     I:-13.486230    D:-2.006642
curAngle:8.031526 P:6.264590     I:-13.414670    D:5.442274
curAngle:9.687070 P:7.555914     I:-13.315804    D:3.503798
curAngle:8.974975 P:7.000480     I:-13.224205    D:-1.507080
curAngle:11.053241 P:8.621528    I:-13.125721    D:5.038221
curAngle:10.279502 P:8.018011    I:-13.020808    D:-1.637543
curAngle:8.870474 P:6.918969     I:-12.941772    D:-3.415826
curAngle:7.483318 P:5.836987     I:-12.865397    D:-2.935780
curAngle:7.349549 P:5.732648     I:-12.790388    D:-0.283108
Accel: X=0.27g Y=-0.14g Z=1.12g
Gyro: X=-8.57 Y=-12.96 Z=-2.00
CH1:1500  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:7.992174 P:6.233896     I:-12.778735    D:9.520368
curAngle:8.169931 P:6.372546     I:-12.705940    D:0.430927
curAngle:7.390929 P:5.764924     I:-12.630509    D:-1.648683
curAngle:8.563231 P:6.679319     I:-12.554211    D:2.841944
curAngle:6.322413 P:4.931482     I:-12.489683    D:-4.742471
curAngle:0.720920 P:0.562317     I:-12.482326    D:-11.855013
curAngle:0.577567 P:0.450502     I:-12.477180    D:-0.347521
curAngle:-5.061349 P:-3.947852   I:-12.528836    D:-11.934215
curAngle:-4.990988 P:-3.892971   I:-12.579774    D:0.148912
curAngle:-6.775104 P:-5.284581   I:-12.640140    D:-4.325128
curAngle:-6.621350 P:-5.164653   I:-12.707718    D:0.325404
curAngle:-14.205731 P:-11.080470         I:-12.834291    D:-18.386379
curAngle:-14.544278 P:-11.344537         I:-12.982730    D:-0.716501
curAngle:-15.734320 P:-12.272769         I:-13.143314    D:-2.518606
Accel: X=0.52g Y=0.29g Z=0.76g
Gyro: X=-0.72 Y=13.12 Z=1.22
CH1:1499  CH2:1283  CH3:1497  CH4:1302  CH5:1640  CH6:1244
curAngle:-16.310646 P:-12.722303         I:-13.167095    D:-8.538168
curAngle:-14.383978 P:-11.219502         I:-13.295257    D:4.670711
curAngle:-13.112530 P:-10.227773         I:-13.429083    D:2.690896
curAngle:-9.337916 P:-7.283575   I:-13.512283    D:9.150578
curAngle:-3.619544 P:-2.823244   I:-13.549224    D:12.102375
curAngle:-1.396524 P:-1.089289   I:-13.563477    D:4.704804
curAngle:-0.352706 P:-0.275111   I:-13.566620    D:2.530468
curAngle:-0.991740 P:-0.773557   I:-13.576740    D:-1.352453
curAngle:-0.687756 P:-0.536450   I:-13.583759    D:0.643353
curAngle:-1.549680 P:-1.208750   I:-13.597567    D:-2.089512
curAngle:-4.808358 P:-3.750519   I:-13.646642    D:-6.896673
curAngle:-6.250894 P:-4.875697   I:-13.702337    D:-3.497057
curAngle:-4.533184 P:-3.535883   I:-13.748602    D:3.635364
curAngle:-5.251465 P:-4.096143   I:-13.802198    D:-1.520172
Accel: X=-0.11g Y=0.19g Z=1.23g
Gyro: X=13.12 Y=-5.96 Z=0.64
CH1:1500  CH2:1512  CH3:985  CH4:1302  CH5:1640  CH6:1244
curAngle:-5.350864 P:-4.173674   I:-13.810000    D:-1.472572
curAngle:-7.413478 P:-5.782513   I:-13.876055    D:-5.000278
curAngle:-8.312443 P:-6.483705   I:-13.960891    D:-1.902570
curAngle:-9.309701 P:-7.261567   I:-14.043840    D:-2.417596
curAngle:-10.250017 P:-7.995013  I:-14.148453    D:-1.990087
curAngle:-10.954489 P:-8.544501  I:-14.260255    D:-1.490945
curAngle:-11.515804 P:-8.982327  I:-14.362860    D:-1.360765
curAngle:-11.938159 P:-9.311764  I:-14.484701    D:-0.893872
curAngle:-12.330426 P:-9.617732  I:-14.610545    D:-0.830195
curAngle:-12.641633 P:-9.860474  I:-14.739566    D:-0.658639
curAngle:-12.894355 P:-10.057596         I:-14.871165    D:-0.534861
curAngle:-13.116795 P:-10.231099         I:-14.988036    D:-0.539248
curAngle:-13.289633 P:-10.365913         I:-15.123671    D:-0.365795
curAngle:-13.370932 P:-10.429326         I:-15.242805    D:-0.197088
Accel: X=0.08g Y=0.26g Z=1.08g
